tweet,max_emotion,sentiment
video shows philippine national police conducting training exercise,neutral,neutral
luis arce tiene covid19 como lo sugirió arturo murillo,neutral,neutral
intox le gouvernement centrafricain na pas suspendu les vols dair france reliant paris et bangui,neutral,positive
fakta atau hoaks benarkah guru dan ustaz masuk kelompok pertama yang terima vaksin covid19 tapi tni dan polri tidak,neutral,neutral
central park field hospital treated coronavirus patients abused children,disgust,negative
désintox non il ny pas eu de couvrefeu en allemagne avant la france,neutral,neutral
geger penumpang wajib ikuti rapid test di bandara bayar rp 550 ribu,neutral,neutral
video shows computergenerated imagery superimposed cathedral nicaragua,neutral,neutral
keine beweise für coronaimmunisierung durch silberwasser,neutral,neutral
pichetto al año se te mueren 20 mil personas por neumonía sin covid,neutral,negative
chá de erva doce e tratamento novo coronavírus é fake news,anger,negative
foto de algeria amendoime é compartilhada como se fosse reacao vacina contra covid19,neutral,neutral
trump diagnosed covid best thing could happened right,neutral,positive
using malaria medicine corona viruss treatment,neutral,neutral
funding cuts abbott government hamper csiros pandemic preparedness,neutral,negative
covid19 non cristiano ronaldo ne transforme pas ses hôtels en hôpitaux,neutral,neutral
una voluntaria de la vacuna de pfizer contra el coronavirus ha advertido de sus efectos secundarios muy severos tras la segunda dosis la fiebre que tuvo se considera una reacción grave,fear,negative
fact check blue cross blue shield pay doctors bonus number children vaccinated,neutral,positive
site engana ao afirmar que baixa mortalidade por covid19 em cuba e por conta da hidroxicloroquina,fear,neutral
coronavirus vaccine successfully developed,neutral,positive
indian health authority refutes hoax report coronavirus case uttar pradesh district,neutral,negative
leaked emails norwegian pressures sales team mislead potential customers coronavirus,anger,negative
un unsure covid19 nigeria country 870 cases,fear,negative
photo circulated reports since 2013 muslims praying sydney street,neutral,positive
detector aún se sabe si jair bolsonaro tiene coronavirus,fear,neutral
las falsedades de la infografía que vincula las radiaciones de alta frecuencia con la covid19 persistente,neutral,neutral
wedding preshoot images couple shared covid19 patient proposing doctor,joy,positive
faux donald trump na pas contracté le coronavirus,neutral,neutral
viral message advertising free lockdown funds scam,fear,negative
old video showing police officers ghana,surprise,neutral
su içerek koronavirüsün akcierlerinize ulamasn engelleyemezsiniz,neutral,neutral
detector el azúcar potencia el covid ni el dióxido de cloro es la solución al virus,neutral,neutral
fauci say 2005 virology journal hydroxychloroquine treat sars,neutral,positive
yeni koronavirüsün akciere inmeden önce dört gün boazda kald iddias,neutral,neutral
plandemic video peddles falsehoods covid19,anger,neutral
unlicensed vaccines untested,disgust,neutral
hoax circulates online people wearing shoes indoors triggered hike covid19 cases italy,neutral,negative
nein ein nasenabstrich beim pcrtest verursacht bei korrekter durchführung keine verletzungen,neutral,neutral
ability hold breath 10 seconds test coronavirus,fear,positive
camels urine healable treat covid19 cancer,neutral,negative
el coronavirus las teorías conspiratorias las vacunas los chemtrails el 5g,fear,neutral
mesej bantuan kepada penggiat seni atau pemain industri oleh motac adalah palsu,neutral,neutral
video shows lodging facility converted covid19 quarantine centre,neutral,neutral
nocomacuento la municipalidad de san josé está construyendo una fosa común para muertes relacionadas con covid19,neutral,neutral
es falso que un estudio publicado en nature demuestre que los asintomáticos transmiten la covid,neutral,neutral
footage bodies new york funeral home circulates misleading claim india,neutral,negative
michigan governor didnt family event reopened region,surprise,neutral
claim harvard university professor arrested manufacturing selling coronavirus bioweapon china false,anger,negative
se han suspendido las clases actividades escolares en cataluña hasta el 2 de marzo por riesgo de contagio por coronavirus 26022020,neutral,neutral
coronavirus il governo manda nas mantova per chiudere il reparto che cura pazienti con il plasma,neutral,neutral
en áfrica hay coronavirus eso es falso sí hay casos en ese continente,fear,neutral
nocomacuento masxmenos de novacentro tiene empleados enfermos de nuevo coronavirus ni fue clausurado,neutral,neutral
coronavirus il medico israeliano che lavora parma e lo stop di cura agli 60 un caso di disinformazione,neutral,negative
se está vacunando niños en un colegio de villamartín cádiz sin el permiso de sus padres tampoco se está vacunando en españa contra el coronavirus,neutral,negative
comerciante de el hueco está internado en hospital de medellín con síntomas del coronavirus,sadness,neutral
désintox non le gouvernement na pas oublié de compter des morts du covid,neutral,neutral
dakwaan terdapat anggota ppk hospital sultanah aminah johor bahru positif covid19 adalah tidak benar,neutral,neutral
nocomacuento ministro de salud daniel salas presentó renuncia por pandemia de covid19,neutral,neutral
covidwatch allowed exercise maximum one family member,neutral,neutral
falseta se confirmó caso de coronavirus en ecuador,neutral,neutral
sen chris murphy overstates travel china trump restrictions,neutral,neutral
discrimination china video shot new york usa,surprise,neutral
covid19 nein die usgesundheitsbehörde cdc hat nicht die öffentlichkeit über die rolle von aerosolen getäuscht,neutral,negative
exminister baskota overstates number covid testing labs,neutral,positive
kaesang mampu tangani virus korona jika menjadi gubernur dki jakarta ini faktanya,neutral,neutral
médico tem autonomia para prescrever tratamento contra covid19,neutral,neutral
salah video biadab banget perlakuan mereka sama jenazah muslim,neutral,neutral
laptop giveaway tecno mobile uganda facebook page scam,sadness,negative
coronavirus les tests pcr dangereux pour le cerveau,neutral,neutral
video shows patients evacuated hospital pakistan fire broke,fear,negative
coronavirus la foto di bolsonaro ricoverato immagine vera decontestualizzata,neutral,neutral
ncema flatly denies rumours surrounding spraying pesticides uae,anger,negative
military doesnt covid19 quarantine team humvees michigan,neutral,neutral
coronavirus zaccarelli dello spallanzani dice che è meno pericoloso di uninfluenza assolutamente,neutral,neutral
videonun hindistanda insanlarn covid19 hastasnn yanna konarak cezalandrldn gösterdii iddias,neutral,neutral
es falso que el uso abuso de mascarillas pueda producir hipoxia,neutral,neutral
óleo consagrado para curar coronavírus é fake news,anger,negative
covid19 la fin de lillusion du zéro mort en suède,sadness,neutral
vídeo de alimentos desenterrados em escola não tem relação com governo rn,neutral,neutral
coronavirus la bufala del cartello del sindaco di buccinasco quanto è vero iddio se quando finisce la pandemia non vi vedo correre vi prendo calci co,neutral,neutral
5yearold india toilet photo circulating photo bharatpur coronavirus hospital toilet,disgust,neutral
fakta atau hoaks benarkah ini video pembuangan jenazah korban covid19 di laut meksiko,neutral,neutral
coronavirus il governo ha ordinato di non fare le autopsie sui morti covid19 si potevano e si possono fare,neutral,positive
dakwaan mesej kononnya terdapat warga atm dijangkiti covid19 sewaktu proses pengundian awal sempena prn sabah adalah tidak benar,neutral,neutral
tv9 bharatvarsh falsely links mystery virus tomatoes coronavirus,neutral,neutral
biden confirm support agenda microchip americans,neutral,positive
cette vidéo ne montre pas le ministre nigérian de la santé qui sévanouit lors dune audition au parlement,neutral,neutral
hot air saunas hair dryers wont prevent treat covid19,neutral,negative
verificamos es falso que se suspenderá la jubilación de los ancianos que cumplan con el aislamiento por covid19,neutral,neutral
pfizer covid19 candidate vaccine cold called vaccine,neutral,neutral
este vídeo está grabado en el metro de parís ni la policía está deteniendo esas personas por llevar mascarilla es bucarest los detenidos son ultras de un equipo de fútbol según la gendarmería rumana,fear,neutral
sultan sokoto didnt say nigerias first covid19 case faked,neutral,neutral
es necesario verificar los datos del padrón electoral para recibir la vacuna contra el coronavirus,neutral,neutral
hay pruebas de que la vitamina c prevenga el coronavirus como afirma una supuesta doctora,fear,neutral
morphed india today graphic claims lockdown extended may 4th,fear,neutral
vitamina e novo coronavírus é fake news,anger,negative
disinfo targeting south african defence force surges amid covid19 lockdown,fear,positive
alman meclisine 2012 ylnda sunulan raporda yeni koronavirüs salgnnn anlatld iddias,neutral,neutral
fact check 99 covid survival rate evidence lockdowns control instead health,neutral,neutral
carnaval será porta de entrada para novo coronavírus é fake news,fear,negative
videos shows italian couple hospital coronavirus,neutral,neutral
coronakettenbrief nein aspirin kann covid19 nicht heilen und nicht alle patienten sterben einer thrombose,neutral,neutral
false headline kenya blocked flights europe us,anger,negative
old image shared bjp leaders visit covid positive dilip ghosh without wearing masks,neutral,positive
sarah huckabee sanders didnt tweet conspiracy theory,anger,positive
facebook post wrong wearing mask carrying concealed weapon north carolina,anger,negative
face mask exempt card doesnt exempt wearing mask public,neutral,positive
osha say masks dont work covid19,neutral,neutral
evidence tying bill gates 100 billion covid19 deal outbreak,neutral,neutral
covid19 week afghanistan compare facilities country,neutral,neutral
discover covid19 reality one afghan general mr mia bakhshi afghanistan,neutral,negative
false headline entebbe international airport yet open scheduled passenger flights,surprise,neutral
false headline chinas announcement debt cancellation african countries mention tanzania,neutral,negative
hoax photo man breaking covid19 restrictions propose girlfriend muranga actually malawi,neutral,negative
false state house nairobi locked four staffers tested positive covid19,sadness,positive
false video mass empty church italy,sadness,negative
two people detained allegedly spreading fake news covid19 one facing charges,anger,negative
