,tweet,max_emotion,sentiment
395,maggi toilet paper banned india,neutral,negative
396,fact check putins daughter die receiving covid19 vaccine,sadness,negative
397,sambit patra got wrong aap candidate amanatullah khan didn̢t say ̢sharia̢,anger,negative
398,fact check domestic violence case bangladesh passed love,neutral,positive
399,delhi government announces subsidy boats,neutral,neutral
400,fact check bhagavad gita allowed schools article 30a indian constitution,neutral,neutral
401,sara pilot didn̢t tell husband sachin join bjp it̢s fake twitter account,neutral,negative
402,fact check viral posts misidentify congress leader naxal bhabhi,neutral,neutral
403,fact check two men seen old photo indira gandhi jawaharlal nehru,neutral,neutral
404,china seeking court approval kill 20000 coronavirus patients,neutral,negative
405,fact check video huge bell peddled ram temple bell,neutral,positive
406,sambit patra shares fake video excongress mla asks followers factcheck,neutral,negative
407,fact check adani group set silos punjab soon farm bills passed parliament,neutral,neutral
408,baba ramdev build radiation shield mangalyaan2,neutral,neutral
409,fact check mughal gardens rashtrapati bhavan renamed dr,anger,neutral
410,delhi police launches giant lathicharge chambers beat protesters humanly,anger,negative
411,fact check old video cow vigilantism resurfaces recent,neutral,neutral
412,jdu leader ajay alok̢s tweet claiming 40 aap mlas rape accused fake,anger,negative
413,fact check sonia gandhi among worlds richest politicians,neutral,positive
414,itr sheet onion consumption column year,neutral,neutral
415,fact check video circulated claim mosque demolished,anger,neutral
416,fact check gossip hungry media misquotes cricketer sunil gavaskar calls sexist misogynist,anger,negative
417,fact check students iit varanasi discarded black gowns,surprise,negative
418,madhu kishwar tweets 2011 video claim muslim man wore sikh turban caa protest,anger,negative
419,fact check old videos photos old farmers protests shared recent,neutral,positive
420,video bus driver attacked mob delhi̢s communal riots,anger,negative
421,fact check deepika padukone sport pro farmers protest slogan reporting ncb office,anger,negative
422,muslim woman baby buried hindus husband,disgust,neutral
423,fact check unrelated photos kerala shared recent farmers protests,neutral,positive
424,video machine manufacturing snacks shared cautionary claims regarding fake cashew nuts,fear,negative
425,viral photo man urinating ahmedabad wall ahead trump visit fake,neutral,negative
426,fact check video falsely shared founder himalaya drug company giving communal speech,neutral,positive
427,madhu kishwar posts video showing ̢anatomy riots̢ clip actually bangladesh,anger,neutral
428,fact check video circulated claim manmohan singh asked leave chair sonia gandhi,neutral,negative
429,sambit patra̢s ̢chullu bhar̢ jibe wrongly attributes ̢jal samadhi̢ quote sp mp azam khan,anger,neutral
430,fact check video russian protom missile explosion passed failure indian test missile,surprise,negative
431,fake image aap govt̢s ad claims kejriwal promised aid muslim riot victims,anger,negative
432,fact check video greece passed roro ferry gujarats,neutral,neutral
433,video couple sex public shaheen bagh,disgust,neutral
434,fact check maharashtra govt official crying covid19,sadness,negative
435,madhu kishwar shares sunny deol̢s movie clip claim muslim kids radicalised,anger,positive
436,fact check netizens share wrong photo victim hathras crime,anger,negative
437,mandatory post facebook profile video chanting ̢bharat mata ki jai̢ home ministry,anger,positive
438,fact check plastic eggs circulation indian markets,neutral,neutral
439,bagga tweets deletes edited picture amul ad said muslims destroyed delhi,neutral,negative
440,fact check viral posts falsely claims central govt cleared singer sp,neutral,positive
441,fact check video ballet performance 73yrold grandmother grandson,neutral,neutral
442,india use services sony tv̢s cid bring vijay mallya back,neutral,neutral
443,fact check ganpati installation video hyderabad shared false communal claim,anger,positive
444,savings section 80c taxed withdrawal govt,neutral,positive
445,fact check fatwa issued bengal banning series leisure activities,anger,neutral
446,viral video communal flareup stone pelting pakistan bihar,anger,neutral
447,fact check photos road accident shared recent rape punjab,neutral,negative
448,didn̢t say vegetarians haven̢t contracted coronavirus viral twitter post misleading,neutral,negative
449,fact check tn govt madras hc change tamil logos sanskrit,neutral,neutral
450,fact check bjp leader kapil mishra claims video showing police hitting boy old chain,neutral,neutral
451,̢section 144 order̢ stokes confusion mumbai amid covid19 scare it̢s public,fear,negative
452,fact check home minister amit shah undergoing treatment new york avian sarcoma,neutral,neutral
453,viral photo mother ̢dying̢ covid19 baby actually 1985,neutral,neutral
454,fact check morphed photo shows cm yogi adityanath watching hathras,neutral,neutral
455,viral images money street nothing italy coronavirus,neutral,neutral
456,fact check sonu sood win award conferred united nations development programme,neutral,positive
457,herd deer lounging ootycoimbatore road amid coronavirus lockdown,fear,neutral
458,fact check viral video journalist rolling ground isnt ravish kumar,neutral,neutral
459,rahul priyanka gandhi didn̢t ̢break curfew visit friends̢ viral video december,neutral,neutral
460,fact check yogi adityanath say job save cows women,neutral,positive
461,viral video claiming lockdown violation delhi̢s daryaganj actually surat,fear,negative
462,fact check times india today share unrelated photo atal,neutral,positive
463,fact check flyover collapse bengaluru,fear,negative
464,viral post says us ceo redesigned india map laud modi covid19 4 years old,neutral,neutral
465,fact check viral video shared claim bjp mp harsh vardhan assaulted public,anger,negative
466,fact check scenes street play shared photos 13yrold rape victim nepal,neutral,negative
467,meghna patel head rbi rajan,neutral,neutral
468,fact check old video rally bangladesh falsely linked west,neutral,neutral
469,image iaf chopper showering flowers migrant workers along highway real,joy,neutral
470,fact check doctored news bulletin claims cm said thakurs tend make mistakes hathras rape,neutral,negative
471,doctor dies social media posts claim attacked covid19 patient,anger,negative
472,fact check antifarm reforms protestors conduct mock funeral pm modi,fear,negative
473,̢man 3 wives 32 children̢ surfaces twitter facebook,neutral,neutral
474,fact check hathras gangrape accuseds father bjp,anger,neutral
475,waris pathan didn̢t threaten police open mosque amid lockdown viral video 4 years old,fear,negative
476,fact check lieutenant general taranjit singh arrested,sadness,negative
477,photo doctorturnedterrorist goes viral it̢s hizbul commander riyaz naikoo,fear,neutral
478,fact check photo charred woman shared false communal claims,anger,positive
479,social media claims ai seated passengers without social distancing here̢s fact,neutral,neutral
480,fact check unrelated video shared hathras victim felicitated topping examination,neutral,positive
481,tricolour image srinagar̢s lal chowk shared bjp̢s kapil mishra ̢new jk̢,joy,positive
482,samajwadi party workers shout ̢pakistan zindabad̢ mumbai railway station,neutral,positive
483,fact check old photo saraswati idol circulated false communal claims,neutral,neutral
484,sambit patra marks 6 ̢cars autos̢ priyanka gandhi̢s vehicle list gets 50 wrong,anger,negative
485,fact check video girl beaten shared false claim caste based violence,sadness,negative
486,jk police cracks notorious gang ̢the write club̢,fear,negative
487,fact check mark zuckerberg say jai shri ram written,neutral,neutral
488,new delhi railway station doesn̢t water cooler ̢who hussain̢ written,neutral,neutral
489,fact check rahul gandhi pull collar police official,neutral,neutral
490,woman viral image rajasthan̢s minor gangrape victim murdered wife haryana cop,anger,negative
491,fact check photo rahul priyanka gandhi smiling shared recent visit hathras,joy,positive
492,fact check terrorist caught hubli bus stand karnataka,fear,negative
493,haryana government̢s new strategy women safety ban education women,fear,negative
494,fact check purported image news18 report saying 57 died due comedk exam karnataka goes,sadness,negative
495,photos man breaking woman̢s body hip goes viral it̢s year,surprise,neutral
496,fact check unrelated video shared claim police manhandled,anger,positive
497,social media claims video people fighting eid here̢s fact,neutral,negative
498,fact check dilip ghosh shares old photo farmers support bjp,neutral,positive
499,viral photo indira gandhi addressing army jawans leh galwan valley,joy,neutral
500,fact check netizens confuse mlc mulayam singh yadav sp supremo declare dead,fear,negative
501,fact check soldiers galwan valley celebrate ganesh puja claimed viral video,joy,positive
502,aap shares images covid bed facility pragati maidan congress mla says it̢s mumbai,neutral,positive
503,fact check fake quote attributed akhilesh yadav ram hanuman,neutral,negative
